Spot,reviewTitle,reviewScore,reviewComment
日本文化体験 庵an京都,舞妓は良かったが、施設が良くない,3.0,舞妓と遊びとても面白かったです、おすすめポイントです。但し、飲み放題プランなのに、お茶一杯しかもらってないため、星を3つにします。
日本文化体験 庵an京都,説明の人が遠くて何をしているのか見えない！,3.0,机が約15列ほど並ぶ教室タイプのレイアウトで、前方に1名説明の人がマイクをつかってお菓子の基礎知識を説明してくれました。
日本文化体験 庵an京都,隙間時間に楽しめました。,4.0,友人4人と当日予約しました。
日本文化体験 庵an京都,楽しかった,5.0,初めての練り切りに友人とワクワクしながら体験してきました。
日本文化体験 庵an京都,外国人や修学旅行生はいいと思います,1.0,10分前に来てくださいと案内がありますが、初めて行く場所なので道に迷うリスクも考えて早めに行動するのが旅行者の基本かと思いますが、この会場は早く到着しても、会場で待つスペースがなく、中に入れてもらえないので、暑い中、立って待つ必要があります。また、エレベーターがある建物ではないので階段で会場まで上がります。体の不自由な方は大変かと思いますのでご注意ください。
日本文化体験 庵an京都,和菓子体験,3.0,和菓子体験をしました。チューリップと菜の花の和菓子でした。外国のお客さんもいて英語と日本語でのレッスンでした。出来上がりの形をイメージして作るとうまく出来る気がしました。持ち帰りのケースは和菓子にピッタリの大きさのケースが用意されているので壊れるのが嫌な人はお店て購入したほうが良いかなと思いました。出来上がりの和菓子は柔らかくて美味しかったです。すぐに食べるのがおすすめです。
日本文化体験 庵an京都,干菓子体験,3.0,お砂糖から木型に入れて干菓子を作るのは思ったよりも簡単でした。椅子に座っての体験なので外国の人でも大丈夫でした。英語と日本語を使っての体験でした。初めて出来立ての皮下食べたのですがホロホロして美味しかったです。
日本文化体験 庵an京都,舞妓さんと夜ご飯,3.0,舞妓さんと夜ご飯を一緒に食べたり、舞子遊びを体験しました。舞子さんのお話を色々聞けたり、お座敷遊びができたりしたので楽しかったけれど、食事が期待しているほど美味しくありませんでした。京都ならではの料理という感じではなくてどこかの仕出しのお弁当を少し上品にしたような感じでした。料金がそこそこのお値段なので仕方ないとは思いましたが少し残念でした。
日本文化体験 庵an京都,雛人形と桃の花の練り切り,5.0,どんな練り切りを作るかは2週間くらいで変わるらしいのですが、私のときは雛人形と桃の花でした。
日本文化体験 庵an京都,とても寒かった,2.0,体験自体は楽しめたのですが、講師の方が外国の方で、日本語が聞き取りづらかったので、少し作り方がわかりにくかったです。
